DATA;HORARIO;MANDANTE;RESULTADO;VISITANTE; PUBLICO ;LOCAL
22/09/2024;18:30;Sao Paulo;1X3;Internacional; 35.111 ;Estadio do Morumbi
22/09/2024;20:00;Criciuma;0X0;Ath Paranaense; 12.765 ;Estadio Heriberto Hulse
21/09/2024;21:00;Fortaleza;4X1;Bahia; 42.051 ;Estadio Castelao
25/09/2024;19:00;Gremio;1X2;Criciuma; 18.457 ;Arena do Gremio
25/09/2024;19:00;RB Bragantino;2X2;Internacional; 3.871 ;Estadio Nabi Abi Chedid
28/09/2024;18:30;Palmeiras;2X1;Atletico Mineiro; 1.604 ;Estadio Brinco de Ouro da Princesa
29/09/2024;11:00;Juventude;1X1;RB Bragantino; 6.285 ;Estadio Alfredo Jaconi
29/09/2024;16:00;Fortaleza;1X0;Cuiaba; 42 ;Estadio Castelao
29/09/2024;16:00;Atl Goianiense;1X0;Fluminense; 7.871 ;Estadio Antonio Accioly
29/09/2024;16:00;Sao Paulo;3X1;Corinthians; 25.888 ;Estadio Nacional de Brasilia
29/09/2024;18:30;Cruzeiro;1X1;Vasco da Gama; 56.331 ;Estadio Governador Magalhaes  Pinto
29/09/2024;18:30;Internacional;3X1;Vitoria; 45.112 ;Estadio Jose Pinheiro Borba
29/09/2024;18:30;Bahia;1X0;Criciuma; 24.574 ;Itaipava Arena Fonte Nova
29/09/2024;20:00;Flamengo;1X0;Ath Paranaense; 30.022 ;Estadio Jornalista Mario Filho
28/09/2024;21:00;Botafogo (RJ);0X0;Gremio; 4.222 ;Estadio Nacional de Brasilia
03/10/2024;19:00;Criciuma;2X0;Atl Goianiense; 12.343 ;Estadio Heriberto Hulse
03/10/2024;21:30;Fluminense;1X0;Cruzeiro; 30.242 ;Estadio Jornalista Mario Filho
